implementation,width,height,timing_runs,median_ms,min_ms,max_ms,slowdown_vs_row,perf_runs,median_l1_loads,median_l1_misses,median_l1_miss_rate_pct,median_llc_loads,median_llc_misses,median_llc_miss_rate_pct
row,64,64,9,0.018,0.007,0.036,1.000,3,1227744,52033,4.247,14580,3842,26.351
column,64,64,9,0.008,0.006,0.036,0.444,3,1227281,51826,4.221,14361,3772,26.266
row,181,181,9,0.298,0.298,0.298,1.000,3,3629798,98500,2.714,15737,3941,24.255
column,181,181,9,0.307,0.304,0.352,1.030,3,3631741,108182,2.978,17908,3871,21.632
row,1254,1254,9,2.831,2.675,7.267,1.000,3,135336647,2384819,1.762,120398,27829,22.966
column,1254,1254,9,13.400,13.326,14.249,4.733,3,135524059,50864972,37.529,14716824,30783,0.208
row,2048,2048,9,8.187,8.124,8.375,1.000,3,360922649,7215674,1.999,143495,73210,51.083
column,2048,2048,9,56.143,55.659,57.008,6.858,3,361701996,139157538,38.475,44403710,18053003,40.691
